Empresa Destinataria (ED),Entidade Veiculo (EV),Investimento Total na ED,Financiamento FINOVA
"LAUNDRY ACTION - WASH, LDA.","Sail Away, Lda","150,000.00","93,750.00"
Globalproud Lda,"GalaxyBoard SGPS, SA","50,000.00","32,500.00"
"Plizz Solutions, Lda","Eggnest SGPS, SA","36,489.00","23,717.85"
"Skyeye, Lda","Eggnest SGPS, SA","10,000.00","6,500.00"
"Welness Metrics, Lda","Eggnest SGPS, SA","24,997.50","16,248.38"
"Bepetly, Lda","Eggnest SGPS, SA","50,000.00","32,500.00"
"Biomode 2, S.A.","IA - FCI Ciencias da Vida SGPS, SA","77,351.06","50,278.19"
Gumelo Lda,"Tagus Innovation for Growth SGPS, SA","60,000.00","39,000.00"
"Ihcare - Innovation Hospital Care, Lda","A2B SGPS, SA","20,500.00","12,870.55"
Magnetikresult - Unipessoal Lda,"Indextalent, Lda","190,000.00","123,500.00"
"MyClickBox, S.A.","Green Swan SGPS, SA","150,000.00","97,000.00"
Shap2Sea - Shapers Factory Board And Blank Manufacturers Lda,"GalaxyBoard SGPS, SA","70,000.00","45,000.00"
Shap2Sea - Shapers Factory Board And Blank Manufacturers Lda,"New Ventures SGPS, SA","100,000.00","65,000.00"
